refrigerator-type Top-Freezer-Refrigerator
net-width 532-mm
built-in-stabilizer No
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
star-rating 5
type Single-Door
number-of-doors 1
toughened-glass Yes
product-name SAMSUNG-192-L-Direct-Cool-Single-Door-Refrigerator-RR19K111ZSE-HL-Elective-Silver-
number-of-refrigerator-shelves 2
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
water-&-ice-dispenser No
net-depth 649-mm
warranty-summary 10-Year-Warranty-on-Compressor
coolpad No
net-height 1192-mm
compressor-type Digital-Inverter-Compressor
capacity 192-L
shelf-material Toughened-Glass
defrosting-type Direct-Cool
domain Refrigerator
weight 32
water-dispenser No
not-covered-in-warranty Parts:-Plastic-/-Glassware-/-Bulb-/-Tube.-Any-Accessories-External-to-the-Product.-The-Product-is-not-Used-According-to-the-Instructions-Given-in-the-Instructions-Manual.-Defects-Caused-by-Improper-Use-as-Determined-by-the-Company-Personnel.-Modification
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
id 1165
