secondary-camera 5-megapixel
ram 1.5-GB
speed-dialing Yes
wi-fi-hotspot Yes
3g-speed 42.2-Mbps-HSDPA;-5.76-Mbps-HSUPA
full-hd-recording Yes
micro-usb-port Yes
display-type TFT
video-formats H.264,VC-1,H.263,MP4,AVC,MPEG4
processor-clock-speed 1.3-GHz
operating-frequency GSM---850,900,1800,1900;-WCDMA---850,900,1900,2100;-4G-LTE---800,850,900,1800,2100
processor-type Exynos-3475
micro-usb-version 2
otg-compatible Yes
phone-book Yes
network-type 4G,3G,2G
product-name SAMSUNG-Galaxy-On5-Gold-8-GB-1-5-GB-RAM-
pre-installed-browser Android,Google-Chrome
sound-enhancements Integrated-Hands-free-Speakers,Noise-Cancellation
frame-rate 30-fps
warranty-summary 1-Year-for-Mobile-&-6-Months-for-Accessories
resolution 1280-x-720-Pixels
important-apps YouTube,MixRadio,Skype-Video-Call,Facebook,Linkedin,Twitter,WhatsApp,My-Galaxy,WeChat
touchscreen Yes
primary-camera 8-megapixel
conference-call Yes
audio-jack 3.5-mm
smartphone Yes
expandable-storage 128-GB
removable-battery Yes
hybrid-sim-slot No
primary-camera-features Flash-Support,Modes---Auto,Beauty-Face,Continuous-Shot,Interval-Shot,Panorama,One-Touch-Shoot
operating-system Android-Lollipop-5.1
touchscreen-type Capacitive
fm-radio Yes
secondary-camera-features Pro-Selfie,Wide-Selfie,Palm-Gesture-Selfie
video-recording-resolution 1920-x-1080
other-features Auto-Reject-List,Call-Barring,Home-Key-Answer,Wi-Fi-Direct
sensors Accelerometer,Proximity-Sensor
processor-core Quad-Core
wi-fi-version 802.11-b/g/n
gps-support Yes
wi-fi Yes
supported-networks 4G-LTE,4G-LTE
usb-connectivity Yes
call-log-memory Yes
sim-access Dual-Standby
bluetooth-version 4.1
digital-zoom Digital-Zoom
battery-type Li-Ion
gprs Yes
depth 0.0085
browse-type Smartphones
gpu ARM-Mali-T720-MP1
battery-capacity 2600-mAh
memory-card-slot-type Dedicated-Slot
sales-package Handset,Stereo-Headset,Travel-Adaptor,Data-Cable,Product-User-Guide,Battery
display-colors 16-M
internal-storage 8-GB
sim-size Micro-SIM
internet-connectivity 4G,3G,Wi-Fi,GPRS,EDGE
width 0.0721
hd-recording Yes
id 1000
audio-formats MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA
secondary-camera-available Yes
primary-camera-available Yes
3g Yes
supported-memory-card-type MicroSD
weight 0.149
height 0.1423
video-recording Yes
domain Mobile
display-size 5-inch
color Gold
model-name Galaxy-On5
edge Yes
bluetooth-support Yes
map-support Google-Maps
call-divert Yes
model-number SM-G550FZKDINS/SM-G550FZDDINS
resolution-type HD
sms Yes
sms-memory Yes
sim-type Dual-Sim
