model-number A1524
browse-type Smartphones
bluetooth-support Yes
width 0.0778
display-size 5.5-inch
hybrid-sim-slot No
product-name Apple-iPhone-6-Plus-Silver-64-GB-
model-name iPhone-6-Plus
sms-memory Yes
sim-type Single-Sim
pre-installed-browser Safari
operating-frequency GSM---850,900,1800,1900;-UMTS---1700,2100;-LTE---700,2300,2500,2600
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-formats H.264,MOV,AVI,MP4,MPEG4,MJPEG,M4V,PCM,AAC-LC
other-features Mobile-Network,Multiple-Languages-and-Characters-Support,Built-in-Speaker,Microphone,Lightning-Connector,On-/-Off-or-Sleep-/-Wake,Calendar,Notes,Reminders,Clock,Calculator,Lightning-Connector,Audio-Calling,AirPlay-Mirroring-Photos,Audio-and,Dustproof
supported-networks 4G-LTE
video-recording-resolution 1920-x-1080
sms Yes
secondary-camera 1.2-megapixel
phone-book-memory Yes
sensors Barometer,Accelerometer,Fingerprint-Identity-Sensor,Proximity-Sensor,Three-axis-Gyro-Sensor,Ambient-Light-Sensor
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n/ac
edge Yes
network-type 4G,3G,2G
id 1186
height 0.1581
phone-book Yes
memory-card-slot-type NA
processor-type A8-Chip-with-64-bit-Architecture-and-M8-Motion-Co-processor
primary-camera-available Yes
depth 0.0070999999999999995
hd-recording Yes
other-display-features 500-cd-/-m2-Maximum-Brightness,LED-Backlit-Wide-Screen,Full-sRGB-Standard,Reachability,Multi-touch,Dual-domain-Pixels,IPS-Display,Wide-angle-Viewing,Display-Zoom,Finger-Print-Resistant-Oleophobic-Coating-on-Front
smartphone Yes
color Silver
primary-camera 8-megapixel
battery-capacity 2915-mAh
sales-package Handset,Charger
3g Yes
operating-system iOS-8
call-log-memory Yes
gprs Yes
sim-size Nano-SIM
weight 0.172
internal-storage 64-GB
resolution-type Retina-HD-Display
map-support Google-Maps
usb-connectivity Yes
secondary-camera-features f/2.2-Aperture,HD-Video-Recording,Backside-Illumination-Sensor,Auto-HDR-for-Photos-and-Videos,Improved-Face-Detection,Burst-Mode,Exposure-Control
touchscreen Yes
nfc Yes
full-hd-recording Yes
domain Mobile
audio-jack 3.5-mm
wi-fi Yes
audio-formats WAV,AAX+,MP3,AIFF,AAC,HE-AAC,VBR,AAX
gps-support Yes
resolution 1920-x-1080-Pixels
primary-camera-features iSight-Camera,1.5-Pixels,Auto-Focus,Focus-Pixels,f/2.2-Aperture,True-Tone-Flash,Five-element-Lens,Hybrid-IR-Filter,Backside-Illumination-Sensor,Sapphire-Crystal-Lens-Cover,Auto-Image-Stabilisation,Auto-HDR-for-Photos,Improved-Face-Detection,Exposure-Control,Panorama-(Upto-43-MP),Burst-Mode,Tap-to-Focus,Photo-Geo-tagging,Timer-Mode,Slow-motion-Video:-Shoot-Video-at-120-fps,Time-lapse-Video,Cinematic-Video-Stabilisation,Continuous-Auto-Focus-Video,Take-Still-Photos-While-Recording-Video,Zoom---3x,Video-Geo-tagging,Optical-Image-Stabilisation
internet-connectivity 3G,Wi-Fi,EDGE,GPRS
important-apps Health,Face-Time,Passbook,iTunes-Store,App-Store,iBooks,Game-Center,Weather,Voice-Memos,Stocks,News-Stand,Podcasts,iMovie,Pages,Keynote,Numbers,iTunes-U,Garage-Band,Remote,Find-My-iPhone,Find-My-Friends,Air-Drop,Air-Play,Control-Cen
bluetooth-version 4
