model-number A1524
browse-type Smartphones
bluetooth-support Yes
width 0.0778
display-size 5.5-inch
product-name Apple-iPhone-6-Plus-Space-Grey-128-GB-
model-name iPhone-6-Plus
sms-memory Yes
sim-type Single-Sim
pre-installed-browser Safari
operating-frequency GSM---850,900,1800,1900;-UMTS---1700,2100;-LTE---700,2300,2500,2600
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-formats MPEG4,MJPEG,PCM,AVI,H.264,AAC-LC,M4V,MP4,MOV
sim-size Nano-SIM
hd-recording Yes
video-recording-resolution 1920-x-1080
primary-camera-available Yes
secondary-camera 1.2-megapixel
phone-book-memory Yes
sensors Accelerometer,Fingerprint-Identity-Sensor,Proximity-Sensor,Three-axis-Gyro-Sensor,Barometer,Ambient-Light-Sensor
battery-type Li-Ion
wi-fi-version 802.11-a/b/g/n/ac
network-type 3G
id 1215
height 0.1581
nfc Yes
processor-type A8-Chip-with-64-bit-Architecture-and-M8-Motion-Co-processor
supported-networks GSM
depth 0.0070999999999999995
edge Yes
other-display-features IPS-Display,Full-sRGB-Standard,Multi-touch,Reachability,500-cd-/-m2-Maximum-Brightness,Dual-domain-Pixels,LED-Backlit-Wide-Screen,Wide-angle-Viewing,Finger-Print-Resistant-Oleophobic-Coating-on-Front,Display-Zoom
smartphone Yes
color Space-Grey
primary-camera 8-megapixel
battery-capacity 2915-mAh
3g Yes
operating-system iOS-8
call-log-memory Yes
gprs Yes
full-hd-recording Yes
weight 0.172
internal-storage 128-GB
resolution-type Retina-HD-Display
map-support Google-Maps
other-features Mobile-Network,Multiple-Languages-and-Characters-Support,Built-in-Speaker,Microphone,Lightning-Connector,On-/-Off-or-Sleep-/-Wake,Calendar,Notes,Reminders,Clock,Calculator,Lightning-Connector,Audio-Calling,AirPlay-Mirroring-Photos,Audio-and,Dustproof
secondary-camera-features f/2.2-Aperture,HD-Video-Recording,Backside-Illumination-Sensor,Auto-HDR-for-Photos-and-Videos,Improved-Face-Detection,Burst-Mode,Exposure-Control
usb-connectivity Yes
domain Mobile
bluetooth-version 4
wi-fi Yes
audio-formats AAC,MP3,WAV,AAX,VBR,AIFF,AAX+,HE-AAC
gps-support Yes
resolution 1920-x-1080-Pixels
primary-camera-features iSight-Camera,1.5-Pixels,Auto-Focus,Focus-Pixels,f/2.2-Aperture,True-Tone-Flash,Five-element-Lens,Hybrid-IR-Filter,Backside-Illumination-Sensor,Sapphire-Crystal-Lens-Cover,Auto-Image-Stabilisation,Auto-HDR-for-Photos,Improved-Face-Detection,Exposure-Control,Panorama-(Upto-43-MP),Burst-Mode,Tap-to-Focus,Photo-Geo-tagging,Timer-Mode,Slow-motion-Video:-Shoot-Video-at-120-fps,Time-lapse-Video,Cinematic-Video-Stabilisation,Continuous-Auto-Focus-Video,Take-Still-Photos-While-Recording-Video,Zoom---3x,Video-Geo-tagging,Optical-Image-Stabilisation
internet-connectivity Wi-Fi,3G,EDGE,GPRS
important-apps Health,Face-Time,Passbook,iTunes-Store,App-Store,iBooks,Game-Center,Weather,Voice-Memos,Stocks,News-Stand,Podcasts,iMovie,Pages,Keynote,Numbers,iTunes-U,Garage-Band,Remote,Find-My-iPhone,Find-My-Friends,Air-Drop,Air-Play,Control-Cen
audio-jack 3.5-mm
